attempt 1

iteration: 38, cost: 0.87038084183061, accuracy: 0.4065934065934066, bad points: 364
iteration: 39, cost: 0.8702382323280597, accuracy: 0.40934065934065933, bad points: 364
iteration: 40, cost: 0.8700947179116161, accuracy: 0.4065934065934066, bad points: 364
iteration: 41, cost: 0.8699514219208526, accuracy: 0.4065934065934066, bad points: 364
iteration: 42, cost: 0.8698007099069838, accuracy: 0.40934065934065933, bad points: 364
iteration: 43, cost: 0.8696479031670167, accuracy: 0.41208791208791207, bad points: 364
iteration: 44, cost: 0.8694951307333262, accuracy: 0.42032967032967034, bad points: 364
iteration: 45, cost: 0.8693437879082369, accuracy: 0.40934065934065933, bad points: 364
iteration: 46, cost: 0.8691775128909062, accuracy: 0.4175824175824176, bad points: 364

attempt 3

iteration: 1, cost: 6.51840279150024, accuracy: 0.27197802197802196, bad points: 364
iteration: 2, cost: 1.6288867013131987, accuracy: 0.32142857142857145, bad points: 247
iteration: 3, cost: 0.8789918232872602, accuracy: 0.40934065934065933, bad points: 364
iteration: 4, cost: 0.8775546765622305, accuracy: 0.3516483516483517, bad points: 364
iteration: 5, cost: 0.8769680230744288, accuracy: 0.37362637362637363, bad points: 364
iteration: 6, cost: 0.8766157929658028, accuracy: 0.3901098901098901, bad points: 364
iteration: 7, cost: 0.8763715161178994, accuracy: 0.34065934065934067, bad points: 364
iteration: 8, cost: 0.8763428528332583, accuracy: 0.41208791208791207, bad points: 364
iteration: 9, cost: 0.8762020875753858, accuracy: 0.33791208791208793, bad points: 364
iteration: 10, cost: 0.8759303664554443, accuracy: 0.4010989010989011, bad points: 364
iteration: 11, cost: 0.875530672988492, accuracy: 0.38186813186813184, bad points: 364
iteration: 12, cost: 0.8754636516079171, accuracy: 0.3791208791208791, bad points: 364
iteration: 13, cost: 0.8753552692299934, accuracy: 0.3791208791208791, bad points: 364
iteration: 14, cost: 0.8752485246303138, accuracy: 0.37362637362637363, bad points: 364
iteration: 15, cost: 0.8751313923691916, accuracy: 0.3791208791208791, bad points: 364
iteration: 16, cost: 0.8750367715797355, accuracy: 0.38461538461538464, bad points: 364
iteration: 17, cost: 0.8749285063509432, accuracy: 0.38461538461538464, bad points: 364
iteration: 18, cost: 0.8748440439281261, accuracy: 0.3873626373626374, bad points: 364
iteration: 19, cost: 0.8747404751956881, accuracy: 0.38186813186813184, bad points: 364
iteration: 20, cost: 0.8745910817015397, accuracy: 0.38186813186813184, bad points: 364
iteration: 21, cost: 0.8746317054731162, accuracy: 0.3791208791208791, bad points: 364
